trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_1A_weekday_001,05:32:00,05:32:00,lechhausen_ostfr,1
trip_1A_weekday_001,05:34:00,05:34:00,kuka_partnachweg,2
trip_1A_weekday_001,05:36:00,05:36:00,curtiusstr,3
trip_1A_weekday_001,05:38:00,05:38:00,kulturstr,4
trip_1A_weekday_001,05:40:00,05:40:00,schleiermacherstr,5
trip_1A_weekday_001,06:42:00,06:42:00,lechhausen_schloessle,6
trip_1A_weekday_001,06:44:00,06:44:00,ulrichsbruecke,7
trip_1A_weekday_001,06:46:00,06:46:00,berliner_allee,8
trip_1A_weekday_001,06:48:00,06:48:00,jakobertor,9
trip_1A_weekday_001,06:50:00,06:50:00,fuggerei,10
trip_1A_weekday_001,06:52:00,06:52:00,pilgerhausstr,11
trip_1A_weekday_001,07:54:00,07:54:00,rathausplatz,12
trip_1A_weekday_001,07:56:00,07:56:00,moritzplatz,13
trip_1A_weekday_001,07:58:00,07:58:00,koenigsplatz,14
trip_1A_weekday_001,07:00:00,07:00:00,frohsinnstr,15
trip_1A_weekday_001,07:02:00,07:02:00,kongress_park,16
trip_1A_weekday_001,07:04:00,07:04:00,polizeipraesidium,17
trip_1A_weekday_001,08:06:00,08:06:00,burgfrieden,18
trip_1A_weekday_001,08:08:00,08:08:00,bergstr,19
trip_1A_weekday_001,08:10:00,08:10:00,maria_stern,20
trip_1A_weekday_001,08:12:00,08:12:00,klausenberg,21
trip_1A_weekday_001,08:14:00,08:14:00,goeggingen_rathaus,22
trip_1A_weekday_001,08:16:00,08:16:00,hessing_kliniken,23
trip_1A_weekday_001,09:18:00,09:18:00,goeggingen,24
trip_1A_weekday_002,06:02:00,06:02:00,lechhausen_ostfr,1
trip_1A_weekday_002,06:04:00,06:04:00,kuka_partnachweg,2
trip_1A_weekday_002,06:06:00,06:06:00,curtiusstr,3
trip_1A_weekday_002,06:08:00,06:08:00,kulturstr,4
trip_1A_weekday_002,06:10:00,06:10:00,schleiermacherstr,5
trip_1A_weekday_002,07:12:00,07:12:00,lechhausen_schloessle,6
trip_1A_weekday_002,07:14:00,07:14:00,ulrichsbruecke,7
trip_1A_weekday_002,07:16:00,07:16:00,berliner_allee,8
trip_1A_weekday_002,07:18:00,07:18:00,jakobertor,9
